Palabra;Sentimiento;Valoracion manual
no;Neutro;0
broma;Feliz;1
bromear;Feliz;1
bromista;Feliz;1
albricias;Feliz;1
aleluya;Feliz;1
bien;Feliz;1
bravo;Feliz;1
espl�ndido;Feliz;1
estupendo;Feliz;1
hurra;Feliz;1
magn�fico;Feliz;1
jam�s;Triste;-1
nada;Triste;-1
ni;Triste;-1
maravilloso;Feliz;1
ol�;Feliz;1
Viva;Feliz;1
abandonado;Triste;-1
abandonar;Triste;-1
abandono;Triste;-1
abatido;Triste;-1
abatimiento;Triste;-1
abatir;Triste;-1
abatirse;Triste;-1
abdicar;Triste;-1
ablandar;Triste;-1
aborrecer;Triste;-1
aborrecerse;Triste;-1
aborrecible;Triste;-1
aborrecimiento;Triste;-1
abortar;Triste;-1
abrumado;Triste;-1
abrumador;Triste;-1
abrumar;Triste;-1
aburrido;Triste;-1
aburrimiento;Triste;-1
aburrir;Triste;-1
acatamiento;Triste;-1
acatar;Triste;-1
acaudalado;Feliz;1
acceder;Feliz;1
accidentado;Triste;-1
accidentar;Triste;-1
accidente;Triste;-1
achantarse;Triste;-1
achispado;Feliz;1
aciago;Triste;-1
ac�o;Triste;-1
aclamar;Feliz;1
aclarar;Feliz;1
acobardado;Triste;-1
acobardarse;Triste;-1
acogotar;Triste;-1
acomodado;Feliz;1
acomodar;Feliz;1
acomodarse;Feliz;1
acomplejado;Triste;-1
acomplejamiento;Triste;-1
acomplejarse;Triste;-1
acongojado;Triste;-1
acongojante;Triste;-1
acongojar;Triste;-1
acrecentado;Feliz;1
acrecentamiento;Feliz;1
acrecentar;Feliz;1
acritud;Triste;-1
activo;Feliz;1
adecuado;Feliz;1
adefesio;Triste;-1
adelantadamente;Feliz;1
adelantado;Feliz;1
adelantar;Feliz;1
adelanto;Feliz;1
adeudar;Triste;-1
adinerado;Feliz;1
admirar;Feliz;1
admitir;Triste;-1
adustez;Triste;-1
adusto;Triste;-1
adversidad;Triste;-1
adverso;Triste;-1
afeado;Triste;-1
afeamiento;Triste;-1
afear;Triste;-1
aflicci�n;Triste;-1
aflictivo;Triste;-1
afligido;Triste;-1
afligir;Triste;-1
afligirse;Triste;-1
aflijirse;Triste;-1
Afortunada;Feliz;1
afortunadamente;Feliz;1
afortunado;Feliz;1
agitaci�n;Feliz;1
agitado;Feliz;1
agitar;Feliz;1
agobiado;Triste;-1
agobiante;Triste;-1
agobiarse;Triste;-1
agobio;Triste;-1
agon�a;Triste;-1
ag�nico;Triste;-1
agonizante;Triste;-1
agonizar;Triste;-1
agorero;Triste;-1
agotar;Triste;-1
agotarse;Triste;-1
agraciado;Feliz;1
agradable;Feliz;1
agradar;Feliz;1
agrado;Feliz;1
