id;tweet;label
1;@Almudena_Sopena Se han lucrado del Zaragoza desde el primer minuto estos avalistas... Sus intereses en los préstam… https://t.co/fzRO60kfbg;NEU
2;@lal_aragon Buenos!!;NEU
3;@mendezLopezg1 Cómo agua.... T___T)) ya sabía lo que pasaba pero aquí estoy viendo que lo hechen.... ;NEU
4;@J_Zaragoza_ No cómo hizo el psoe en Andalucía 😉😂😂😂😂;NEU
5;@Diablo_Heraldo @Cruyffero No me convence tampoco pero es mejor que Mingueza.;NEU
6;@pucelleorleans_ Eso fue obra y gracia de Michel Bachelet... y Heraldo Muñoz;NEU
7;@lal_aragon Buenos días cielo,  ya me voy. Feliz día 😘⚘;NEU
8;#Salud| Mañana las cabinas de tamizaje Covid-19 llegarán a los municipios de Ilopango, Zaragoza, Coatepeque y Victo… https://t.co/9MacyJRJgv;NEU
9;Video completo...;NEU
10;@J_Zaragoza_ Así de demócratas son;NEU
11;@aragon_memes @Lizer_zgz Es decir, la lista de ingredientes, o “Recao”, que es lo que viene a significar el nombre,… https://t.co/U3WjtG7FFr;NEU
12;En tus ojos, depositado y lavado con lágrimas tu recuerdo ;NEU
13;@ArantxaPMZamora @LaJunglaRadio @LaJunglaNews Es la ruta del silencio. Por el bajo teruel,;NEU
14;@marcio_teruel @CDeportivoFAS Sos parte de esa historia Marcio.;NEU
15;#informativocaleño Te Informa ;NEU
16;#CañaveraldePasiones no es ni por error de mis telenovelas favoritas, pero con tal de gozar a Angélica Aragón, pues… https://t.co/mmAM6ReN9z;NEU
17;@aragon_memes @Lizer_zgz Aquí un vídeo de otro cocinero de Binéfar que se grabó en la pandemia https://t.co/bCv0aDvqcN;NEU
18;Ofertas Trabajo Senior Frontend Developer en Aragón: Informática Bages, España Contrato Indefinido Jornada completa… https://t.co/W3ueMSulVB;NEU
19;Ofertas Trabajo Auditoría- Seniors de Auditoría Externa - Buenos Aires/Córdoba/Mendoza/Rosario- US Client en Aragón… https://t.co/qNAgzWLKx9;NEU
20;Ofertas Trabajo Programador/a Senior BI en Aragón: En Inycom seleccionamos un/a programador/a BI para incorporarse… https://t.co/Y33jmBxBY9;NEU
21;@aragon_memes @Lizer_zgz Teodoro Bardají, lo hizo famoso cuando publicó la receta en la revista culinaria llamada E… https://t.co/E7ag28IOUq;NEU
22;@angeldelaluz13 @Sandrivaliente No es por nada,pero la ciudad del amor es Teruel.🤷;NEU
23;@aragon_memes @Lizer_zgz Es un plato de aprovechamiento que deja abierta la lista de ingredientes. Aquí lo nombra c… https://t.co/0cHVBOGNfT;NEU
24;La historia de #Trasmoz, el único pueblo excomulgado de España. ¡Descubre numerosas leyendas de carácter místico y… https://t.co/hbTt9qy4Tw;NEU
25;Pide protejer la vida - El Heraldo de Aguascalientes https://t.co/MhKJtHRyWF https://t.co/hOBPt4vRUd;NEU
26;Gracias a nuestro wazer:  juanpafdz reporta ligera carga en Viaducto cerca de metro Puebla hacia Zaragoza.;NEU
27;Se puede quedar uno a vivir en un video?                                                           Yo me quedo eter… https://t.co/51HFBtubOd;NEU
