;Palabra;Sentimiento;Valoracion;Stemmed
0;no;Triste;0;no
1;broma;Feliz;1;brom
2;bromista;Feliz;1;bromist
3;albricias;Feliz;1;albrici
4;aleluya;Feliz;1;alelu
5;bien;Feliz;1;bien
6;bravo;Feliz;1;brav
7;espléndido;Feliz;1;esplend
8;estupendo;Feliz;1;estupend
9;hurra;Feliz;1;hurr
10;magnífico;Feliz;1;magnif
11;jamás;Triste;-1;jamas
12;maravilloso;Feliz;1;maravill
13;olé;Feliz;1;ole
14;Viva;Feliz;1;viv
15;abandonado;Triste;-1;abandon
16;abatido;Triste;-1;abat
17;abdicar;Triste;-1;abdic
18;ablandar;Triste;-1;abland
19;aborrecer;Triste;-1;aborrec
20;abortar;Triste;-1;abort
21;abrumado;Triste;-1;abrum
22;aburrido;Triste;-1;aburr
23;acatamiento;Triste;-1;acat
24;acaudalado;Feliz;1;acaudal
25;acceder;Feliz;1;acced
26;accidentado;Triste;-1;accident
27;achantarse;Triste;-1;achant
28;achispado;Feliz;1;achisp
29;aciago;Triste;-1;aciag
30;acío;Triste;-1;aci
31;aclamar;Feliz;1;aclam
32;aclarar;Feliz;1;aclar
33;acobardado;Triste;-1;acobard
34;acogotar;Triste;-1;acogot
35;acomodado;Feliz;1;acomod
36;acomplejado;Triste;-1;acomplej
37;acongojado;Triste;-1;acongoj
38;acrecentado;Feliz;1;acrecent
39;acritud;Triste;-1;acritud
40;activo;Feliz;1;activ
41;adecuado;Feliz;1;adecu
42;adefesio;Triste;-1;adefesi
43;adelantadamente;Feliz;1;adelant
44;adeudar;Triste;-1;adeud
45;adinerado;Feliz;1;adiner
46;admirar;Feliz;1;admir
47;admitir;Triste;-1;admit
48;adustez;Triste;-1;adustez
49;adusto;Triste;-1;adust
50;adversidad;Triste;-1;advers
51;afeado;Triste;-1;afe
52;afeamiento;Triste;-1;afeamient
53;aflicción;Triste;-1;afliccion
54;aflictivo;Triste;-1;aflict
55;afligido;Triste;-1;aflig
56;aflijirse;Triste;-1;aflij
57;Afortunada;Feliz;1;afortun
58;agitación;Feliz;1;agit
59;agobiado;Triste;-1;agobi
60;agonía;Triste;-1;agon
61;agonizante;Triste;-1;agoniz
62;agorero;Triste;-1;agorer
63;agotar;Triste;-1;agot
64;agraciado;Feliz;1;agraci
65;agradable;Feliz;1;agrad
66;agrandamiento;Feliz;1;agrand
67;agravamiento;Triste;-1;agrav
68;agreste;Triste;-1;agrest
69;agriado;Triste;-1;agri
70;aguafiestas;Triste;-1;aguafiest
71;aguantador;Triste;-1;aguant
72;agüero;Triste;-1;agüer
73;ahogamiento;Triste;-1;ahog
74;ahorcamiento;Triste;-1;ahorc
75;airado;Triste;-1;air
76;aislado;Triste;-1;aisl
77;aislador;Triste;-1;aislador
78;aislamiento;Triste;-1;aislamient
79;aislante;Triste;-1;aislant
80;ajado;Triste;-1;ajad
81;ajamiento;Triste;-1;ajamient
82;ajar;Triste;-1;ajar
83;ajusticiado;Triste;-1;ajustici
84;alarma;Triste;-1;alarm
85;alborotar;Feliz;1;alborot
86;alborozadamente;Feliz;1;alboroz
87;alegrar;Feliz;1;alegr
88;alejado;Triste;-1;alej
89;algarabía;Feliz;1;algarab
90;algazara;Feliz;1;algaz
91;alicaído;Triste;-1;alicaid
92;aliviarse;Feliz;1;alivi
93;almacabra;Triste;-1;almacabr
94;alteración;Triste;-1;alter
95;altercado;Triste;-1;alterc
96;alucinación;Feliz;1;alucin
97;alumbrado;Feliz;1;alumbr
98;amar;Feliz;1;amar
99;amargado;Triste;-1;amarg
100;amargura;Triste;-1;amargur
101;amenazador;Triste;-1;amenaz
102;ametrallamiento;Triste;-1;ametrall
103;amilanarse;Triste;-1;amilan
104;amohinado;Triste;-1;amohin
105;amoldamiento;Triste;-1;amold
106;amor;Feliz;1;amor
107;amortajamiento;Triste;-1;amortaj
108;ampliación;Feliz;1;ampliacion
109;ampliado;Feliz;1;ampli
110;anciano;Triste;-1;ancian
111;angustia;Triste;-1;angusti
112;animación;Feliz;1;anim
113;animadversión;Triste;-1;animadversion
114;aniquilación;Triste;-1;aniquil
115;anonadar;Triste;-1;anonad
116;ansia;Triste;-1;ansi
117;ansiedad;Triste;-1;ansied
118;ansioso;Triste;-1;ansios
119;antagónico;Triste;-1;antagon
120;anticuado;Triste;-1;anticu
121;antiestético;Triste;-1;antiestet
122;antigüedad;Triste;-1;antigüed
123;antiguo;Triste;-1;antigu
124;antipatía;Triste;-1;antipat
125;antipatizar;Triste;-1;antipatiz
126;anuencia;Triste;-1;anuenci
127;anular;Triste;-1;anul
128;añorante;Triste;-1;añor
129;apagado;Triste;-1;apag
130;apartado;Triste;-1;apart
131;apasionado;Feliz;1;apasion
132;apatía;Triste;-1;apat
133;apenado;Triste;-1;apen
134;apesadumbrado;Triste;-1;apesadumbr
135;apesarar;Triste;-1;apesar
136;apiadar;Triste;-1;apiad
137;aplanador;Triste;-1;aplan
138;aplaudir;Feliz;1;aplaud
139;apocado;Triste;-1;apoc
140;apocalipsis;Triste;-1;apocalipsis
141;apocalíptico;Triste;-1;apocalipt
142;apogeo;Feliz;1;apoge
143;apoplejía;Triste;-1;apoplej
144;apretado;Triste;-1;apret
145;aprieto;Triste;-1;apriet
146;aprobación;Feliz;1;aprob
147;apropiado;Feliz;1;apropi
148;aprovechable;Feliz;1;aprovech
149;apurado;Triste;-1;apur
150;aquejar;Triste;-1;aquej
151;aquelarre;Triste;-1;aquelarr
152;arcaico;Triste;-1;arcaic
153;arcaísmo;Triste;-1;arcaism
154;arder;Triste;-1;arder
155;aridez;Triste;-1;aridez
156;árido;Triste;-1;arid
157;arisco;Triste;-1;arisc
158;arpía;Triste;-1;arpi
159;arraigo;Feliz;1;arraig
160;arrasado;Triste;-1;arras
161;arrebatado;Triste;-1;arrebat
162;arredrarse;Triste;-1;arredr
163;arrepentido;Triste;-1;arrepent
164;arrinconamiento;Triste;-1;arrincon
165;arrobador;Feliz;1;arrob
166;arruinado;Triste;-1;arruin
167;arrumado;Triste;-1;arrum
168;asbesto;Triste;-1;asbest
169;ascender;Feliz;1;ascend
170;ascenso;Feliz;1;ascens
171;asco;Triste;-1;asco
172;asediar;Triste;-1;asedi
173;asegurar;Feliz;1;asegur
174;asesinar;Triste;-1;asesin
175;asesinato;Triste;-1;asesinat
176;asfixia;Triste;-1;asfixi
177;asilado;Triste;-1;asil
178;asimetría;Triste;-1;asimetr
179;asolador;Triste;-1;asol
180;asombrar;Feliz;1;asombr
181;aspereza;Triste;-1;asperez
182;áspero;Triste;-1;asper
183;asqueado;Triste;-1;asqu
184;ataque;Triste;-1;ataqu
185;ataúd;Triste;-1;ataud
186;atemorizante;Triste;-1;atemoriz
187;atenuar;Triste;-1;atenu
188;aterrador;Triste;-1;aterr
189;atezado;Triste;-1;atez
190;atiborrarse;Feliz;1;atiborr
191;atormentado;Triste;-1;atorment
192;atrabiliario;Triste;-1;atrabiliari
193;atracción;Feliz;1;atraccion
194;atractivo;Feliz;1;atract
195;atrasado;Triste;-1;atras
196;atravesado;Triste;-1;atraves
197;atribulado;Triste;-1;atribul
198;Atropo;Triste;-1;atrop
199;atroz;Triste;-1;atroz
200;aturdido;Triste;-1;aturd
201;auge;Feliz;1;aug
202;aullador;Triste;-1;aullador
203;aullar;Triste;-1;aull
204;aumentado;Feliz;1;aument
205;ausencia;Triste;-1;ausenci
206;ausente;Triste;-1;ausent
207;autopsia;Triste;-1;autopsi
208;auxilio;Triste;-1;auxili
209;avance;Feliz;1;avanc
210;avanzado;Feliz;1;avanz
211;avaro;Triste;-1;avar
212;avenencia;Triste;-1;avenent
213;avenirse;Triste;-1;aven
214;aventajado;Feliz;1;aventaj
215;avergonzar;Triste;-1;avergonz
216;avería;Triste;-1;aver
217;averiado;Triste;-1;averi
218;Averno;Triste;-1;avern
219;aversión;Triste;-1;aversion
220;avieso;Triste;-1;avies
221;avinagrado;Triste;-1;avinagr
222;ay;Triste;-1;ay
223;ayuno;Triste;-1;ayun
224;ayuntarse;Feliz;1;ayunt
225;azaroso;Triste;-1;azar
226;azogado;Triste;-1;azog
227;azotar;Triste;-1;azot
228;bacanal;Feliz;1;bacanal
229;baja;Triste;-1;baj
230;baldado;Triste;-1;bald
231;baldadura;Triste;-1;baldadur
232;bancarrota;Triste;-1;bancarrot
233;baraúnda;Feliz;1;baraund
234;barbillera;Triste;-1;barbiller
235;beatitud;Feliz;1;beatitud
236;bebido;Feliz;1;beb
237;bejín;Triste;-1;bejin
238;bendecido;Feliz;1;bendec
239;bendición;Feliz;1;bendicion
240;bendito;Feliz;1;bendit
241;beneficio;Feliz;1;benefici
