;Palabra;Sentimiento;Valoracion;Stemmed
0;no;Triste;-1;no
1;grande;Feliz;1;grand
2;grandeza;Feliz;1;grandez
3;abandonado;Triste;-1;abandon
4;abatido;Triste;-1;abat
5;abdicar;Triste;-1;abdic
6;ablandar;Triste;-1;abland
7;aborrecer;Triste;-1;aborrec
8;abortar;Triste;-1;abort
9;abrumado;Triste;-1;abrum
10;aburrido;Triste;-1;aburr
11;acatamiento;Triste;-1;acat
12;acaudalado;Feliz;1;acaudal
13;acceder;Feliz;1;acced
14;accidentado;Triste;-1;accident
15;achantarse;Triste;-1;achant
16;achispado;Feliz;1;achisp
17;aciago;Triste;-1;aciag
18;ac�o;Triste;-1;ac�o
19;aclamar;Feliz;1;aclam
20;aclarar;Feliz;1;aclar
21;acobardado;Triste;-1;acobard
22;acogotar;Triste;-1;acogot
23;acomodado;Feliz;1;acomod
24;acomplejado;Triste;-1;acomplej
25;acongojado;Triste;-1;acongoj
26;acrecentado;Feliz;1;acrecent
27;acritud;Triste;-1;acritud
28;activo;Feliz;1;activ
29;adecuado;Feliz;1;adecu
30;adefesio;Triste;-1;adefesi
31;adelantadamente;Feliz;1;adelant
32;adeudar;Triste;-1;adeud
33;adinerado;Feliz;1;adiner
34;admirar;Feliz;1;admir
35;admitir;Triste;-1;admit
36;adustez;Triste;-1;adustez
37;adusto;Triste;-1;adust
38;adversidad;Triste;-1;advers
39;afeado;Triste;-1;afe
40;afeamiento;Triste;-1;afeamient
41;aflicci�n;Triste;-1;aflicci�n
42;aflictivo;Triste;-1;aflict
43;afligido;Triste;-1;aflig
44;aflijirse;Triste;-1;aflij
45;Afortunada;Feliz;1;afortun
46;agitaci�n;Feliz;1;agitaci�n
47;agitado;Feliz;1;agit
48;agobiado;Triste;-1;agobi
49;agon�a;Triste;-1;agon�
50;ag�nico;Triste;-1;ag�nic
51;agonizante;Triste;-1;agoniz
52;agorero;Triste;-1;agorer
53;agotar;Triste;-1;agot
54;agraciado;Feliz;1;agraci
55;agradable;Feliz;1;agrad
56;agrandamiento;Feliz;1;agrand
