;Texto_tweet;valoracion_corpus;valoracion_calculada;Palabras_encontradas
0;Sopena lucrado Zaragoza primer minuto avalistas  intereses préstam;0;1.0; interes(1.0)
1;aragon Buenos;0;1.0; buen(1.0)
2;Heraldo No convence tampoco mejor Mingueza ;0;1.0; no(-1.0) convenc(1.0) mejor(1.0)
3;aragon Buenos días cielo  voy  Feliz día;0;1.0; buen(1.0) ciel(1.0) feliz(1.0)
4;Salud Mañana cabinas tamizaje Covid19 llegarán municipios Ilopango  Zaragoza  Coatepeque Victo;0;1.0; salud(1.0)
5;Video completo ;0;1.0; complet(1.0)
6;Ofertas Trabajo Senior Frontend Developer Aragón  Informática Bages  España Contrato Indefinido Jornada completa;0;1.0; complet(1.0)
7;memes zgz Teodoro Bardají  hizo famoso publicó receta revista culinaria llamada;0;1.0; famos(1.0)
8;memes zgz plato aprovechamiento deja abierta lista ingredientes  Aquí nombra c;0;1.0; aprovech(1.0)
9;puede quedar vivir video  quedo eter;0;1.0; viv(1.0)
10;hermosa saludos atizapan zaragoza;0;1.0; hermos(1.0) salud(1.0)
11;Felicidades Batallón pronto celebremos muchas estrellas;0;1.0; felic(1.0) celebr(1.0)
12;mejor leo  ;0;1.0; mejor(1.0)
13;vaca marina vivió Huesca hace 42 millones años ;0;1.0; viv(1.0)
14;Problemas acrecentados pandemia Covid19  desabasto medicamentos menor acceso atenci;0;1.0; acrecent(1.0)
15;Ministro   informó mañana  jueves 17 febrero  desarrollará jornada tamiz;0;1.0; desarroll(1.0)
16;tan fuckboy  siempre tan buena;0;1.0; buen(1.0)
17;buenas noches colonia valle Aragón 1a sección hace dos horas cayó servicio;0;1.0; buen(1.0)
18;Descansa    Buenas noches linda señora ;0;1.0; descans(1.0) buen(1.0)
19;válgame  Válgame señor hermosa Angélica Aragón ;0;1.0; hermos(1.0)
20;XD ganaron celos;0;1.0; gan(1.0)
21;vaca marina vivió Huesca hace 42 millones años ;0;1.0; viv(1.0)
22; Secretario  C1 Pueblo San Juan Aragon  Prioritario   señora Flor Madrid Utiliza 3;0;1.0; san(1.0)
23;Hermosa Angélica Aragón;0;1.0; hermos(1.0)
24;heraldo buenas noticias ;0;1.0; buen(1.0)
25;San Salvador Frente Maxi Despensa San Bartolo Par;0;1.0; san(1.0) san(1.0)
26;toparse Rompepelotas Av Centenario  Eje 1 Oriente  cruzando Oriente 157  Norte  zanjáis San Ju;0;1.0; san(1.0)
27;Empiecen ir cada fin semana pasear Tepito  Milpa Alta  Tlahuac  Ecatepec  Neza  Aragón suban fotos c;0;1.0; sub(1.0)
28;puto trio aragon impide rafa duerma naranja  ganas echarlos;0;1.0; gan(1.0)
29; Buena Noche Secretario  sucede diario  cuadrante 1 pueblo san juan aragon  peri;0;1.0; buen(1.0) san(1.0)
30;Extraño mejor amiga mamá   ;0;1.0; mejor(1.0)
31;Si  verdad súper actor  italiano hace papá actúa bien  Angelica Aragón;0;1.0; bien(1.0)
32;San Salvador Frente;0;1.0; san(1.0)
33;07 bravo amé;0;1.0; brav(1.0)
34;Mejor q den oportunidad Huesca;0;1.0; mejor(1.0) oportun(1.0)
35;San Salvador Frente Maxi Despensa San Bartol;0;1.0; san(1.0) san(1.0)
36;Buen día Aragón  Hoy Teruel nuboso  max 19º min 4º  Huesca Uesca nuboso  max d;0;1.0; buen(1.0)
37;San Salvador Frente Maxi Despensa San Bartolo;0;1.0; san(1.0) san(1.0)
38;teruel Grande Marcinho  abrazos gol;0;1.0; grand(1.0)
39;teruel Grande Marcio;0;1.0; grand(1.0)
40;visita entidad  Cardenal Alberto Suárez  pidió autoridades encargadas seguridad pública;0;1.0; segur(1.0)
41;Win ws verdad bueno Davies marca defensa;0;1.0; buen(1.0)
42;Imagínate Batalla Teruel  bueno dice historia contraatacar ganar;0;1.0; buen(1.0) gan(1.0)
43;huesca InvisibleO Si mayoría va 35  claramente 41 bien   ;0;1.0; bien(1.0)
44;Danna  Anahí  maca  maybe mariana Rodríguez  Mariana Zaragoza  aprovechó decir q;0;1.0; aprovech(1.0)
45;verla cine vivía chaval Zaragoza  día intenté volver ver Amazon;0;1.0; viv(1.0)
46;Rory Gallagher suerte ver hermanos Gallagher Oasis  dos moñas p;0;1.0; suert(1.0)
47;Huesca 6 minutos vio mejor Quick  ridículo  hermano ;0;1.0; mejor(1.0)
48;Goggle lleno datos  Si quieres VERDAD  obvio ;0;1.0; llen(1.0)
49;Dicha mesa área lectura expediente  ocasiones mueven demasiado mínimo impuls;0;1.0; dich(1.0) impuls(1.0)
50;Buenos días  mundo ;0;1.0; buen(1.0)
51;Buenas noches  descansa ;0;1.0; buen(1.0) descans(1.0)
52;Heraldo pasa mentiroso  Marina Gómez Palacio ganara;0;1.0; gan(1.0)
53;Sigue creciendo emporio  Cómo  Ahora Zaragoza comprar  Zaragoza Blvd  Independenc;0;1.0; crec(1.0)
54;teruel zurda bien trabajada   quiere aquí Santa Ana  Marcio   abrazo fuerte distancia ;0;1.0; bien(1.0) fuert(1.0) distanci(-1.0)
55;Feliz cumpleaños gracias oportunidad llevar colores corazon  Desfrute fasistas;0;1.0; feliz(1.0) oportun(1.0)
56; itspotter Rafa Carmen encanta  saca mejor lado parecido brother Aragon;0;1.0; encant(1.0) mejor(1.0)
57;Completamente acuerdo  ahora siguen peor todavía  Zaragoza royo así ;0;1.0; complet(1.0)
58;AragonV CUEVAS bien  celebramos campeonatos ;0;1.0; bien(1.0) celebr(1.0)
59;CUEVAS sereno  Gano NECAXA  Así festejado 10  festejamos ;0;1.0; gan(1.0) festej(1.0) festej(1.0)
60;Regina29 Q Bueno bonita;0;1.0; buen(1.0)
61;Buenas noches;0;1.0; buen(1.0)
62;San Salvador  Salvador;0;1.0; san(1.0)
63;Alcalde Zaragoza nota nacional  corre reporteros Palacio Municipal fuerza pública;0;1.0; fuerz(1.0)
64;San Juan Aragón mundo  Hacemos mejores playeras;0;1.0; san(1.0) mejor(1.0)
65;6 meses acá siento feliz;0;1.0; feliz(1.0)
66;ecatepec Según rehabilitación pozo cercanías Plaza Aragón beneficiaria;0;1.0; rehabilit(1.0)
67;supuestos hinchas hicieron daño equipo  aseguró máximo accionista Unión Magdalena diálogo;0;1.0; hinch(1.0) asegur(1.0)
68;Aragon amixx seguro fan goku;0;1.0; segur(1.0)
69;𝗔𝘇𝘁𝗲𝗰𝗮 𝗨𝗡𝗢 vivo;0;1.0; viv(1.0)
70;MATI HABLANDO SOFI ARAGÓN  SUPERIOR SOFTI;0;1.0; superior(1.0)
71;Victoria  Tamaulipas;0;1.0; victori(1.0)
72;cree mejor ego avaricia va acabar quedo demostrado 2 millones firma;0;1.0; mejor(1.0)
73;Estimado Ricardo  siempre lugar Usted pueda continuar excelente labor periodística ;0;1.0; excelent(1.0)
74;iglesia OnlyFans  Nala Ray  hija pastor hoy gana MILLONES fotos Heraldo USA;0;1.0; gan(1.0)
75;grande quiero flow Mads;0;1.0; grand(1.0)
76;aragon cambia;0;1.0; cambi(1.0)
77;Vehículos emergencia CruzRojaMexicana acuden Av 608  San Juan Aragón IV Sección  Gustavo;0;1.0; san(1.0)
78;Bueno verdad  JoseRamonLopezBeltran;0;1.0; buen(1.0)
79; dije viernes mínimo den semana completa;0;1.0; complet(1.0)
80;Vente zaragoza papuuuu acá no solo hacen guardias nets hacen residencia quirúrgica bien perra acá viven básicamente;0;1.0; no(-1.0) bien(1.0) viv(1.0)
81;Madrigal Zaragoza Franco sigue vivo ;0;1.0; viv(1.0)
82;ambiente vive aquí oposición bella Arabia Atizapán Zaragoza  Saludos;0;1.0; viv(1.0) salud(1.0)
83;San Luis Potos;0;1.0; san(1.0)
